number,company,symbol,ytd_return
180,PulteGroup,PHM,12.95
181,Dominion Energy,D,12.87
182,Phillips 66,PSX,12.85
183,Abbott Laboratories,ABT,12.73
184,Palo Alto Networks,PANW,12.42
185,Trane Technologies,TT,12.13
186,Genuine Parts Company,GPC,12.02
187,CMS Energy,CMS,11.82
188,Teradyne,TER,11.54
189,Realty Income,O,11.02
190,Nordson Corporation,NDSN,10.93
191,Mettler Toledo,MTD,10.38
192,Hershey Company (The),HSY,10.26
193,Albemarle Corporation,ALB,10.19
194,Citizens Financial Group,CFG,9.92
195,PTC Inc.,PTC,9.81
196,Boston Scientific,BSX,9.38
197,Freeport-McMoRan,FCX,9.11
198,Baker Hughes,BKR,9.07
199,Axon Enterprise,AXON,8.91
200,Franklin Resources,BEN,8.90
201,Pinnacle West,PNW,8.81
202,D. R. Horton,DHI,8.79
203,American Express,AXP,8.77
204,Travelers Companies (The),TRV,8.76
205,Solventum,SOLV,8.69
206,Coca-Cola Company (The),KO,8.57
207,Republic Services,RSG,8.48
208,Crown Castle,CCI,8.37
209,Synchrony Financial,SYF,8.18
210,Pentair,PNR,8.01
211,Trimble Inc.,TRMB,7.84
212,General Motors,GM,7.77
213,Berkshire Hathaway,BRK.B,7.77
214,Corteva,CTVA,7.53
215,Cadence Design Systems,CDNS,7.22
216,Yum! Brands,YUM,7.01
217,Deere & Company,DE,6.97
218,Textron,TXT,6.75
219,Expeditors International,EXPD,6.73
220,Qualcomm,QCOM,6.61
221,Mohawk Industries,MHK,6.60
222,Visa Inc.,V,6.06
223,Cigna,CI,6.01
224,Waste Management,WM,5.95
225,Linde plc,LIN,5.82
226,Datadog,DDOG,5.70
227,McDonald's,MCD,5.64
228,"Tesla, Inc.",TSLA,5.64
229,American International Group,AIG,5.46
230,Vici Properties,VICI,5.37
231,Cincinnati Financial,CINF,5.35
232,IQVIA,IQV,5.22
233,Hewlett Packard Enterprise,HPE,5.16
234,Agilent Technologies,A,5.02
235,Intercontinental Exchange,ICE,4.78
236,American Tower,AMT,4.75
237,Chevron Corporation,CVX,4.72
238,Willis Towers Watson,WTW,4.67
239,NXP Semiconductors,NXPI,4.66
240,Mastercard,MA,4.06
241,Humana,HUM,3.97
242,Sempra,SRE,3.90
243,Tractor Supply,TSCO,3.84
244,CoStar Group,CSGP,3.84
245,Sysco,SYY,3.34
246,Aflac,AFL,3.25
247,Mondelez International,MDLZ,3.20
248,Raymond James Financial,RJF,3.11
249,DuPont,DD,2.95
250,ExxonMobil,XOM,2.77
251,Stryker Corporation,SYK,2.63
252,NetApp,NTAP,2.46
253,Thermo Fisher Scientific,TMO,2.45
254,Public Storage,PSA,2.44
255,Intuit,INTU,2.43
256,Simon Property Group,SPG,2.43
257,T-Mobile US,TMUS,2.41
258,Kellanova,K,2.38
259,Ametek,AME,2.35
260,Hubbell Incorporated,HUBB,2.31
261,Emerson Electric,EMR,2.17
262,Fox Corporation (Class B),FOX,1.89
